Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Pete Visclosky,1999-01-03,49.3908282,106,3,3
Pete Visclosky,2001-01-03,51.39219713,107,1,1
Pete Visclosky,2003-01-03,53.3908282,108,1,1
Pete Visclosky,2005-01-03,55.39219713,109,1,1
Pete Visclosky,2007-01-03,57.3908282,110,2,2
Pete Visclosky,2009-01-03,59.39219713,111,1,1
Pete Visclosky,2011-01-03,61.3908282,112,1,1
Pete Visclosky,2013-01-03,63.39219713,113,1,1
Pete Visclosky,2015-01-03,65.3908282,114,1,1
Pete Visclosky,2017-01-03,67.39219713,115,1,1
Pete Visclosky,2019-01-03,69.3908282,116,1,1
Louise Slaughter,1985-01-03,55.38945927,99,#N/A,1
Louise Slaughter,1987-01-03,57.38809035,100,1,1
Louise Slaughter,1989-01-03,59.38945927,101,1,1
Louise Slaughter,1991-01-03,61.38809035,102,3,3
Louise Slaughter,1993-01-03,63.38945927,103,2,2
Louise Slaughter,1995-01-03,65.38809035,104,2,2
Louise Slaughter,1997-01-03,67.38945927,105,2,2
Louise Slaughter,1999-01-03,69.38809035,106,1,1
Louise Slaughter,2001-01-03,71.38945927,107,1,1
Louise Slaughter,2003-01-03,73.38809035,108,2,2
Louise Slaughter,2005-01-03,75.38945927,109,2,2
Louise Slaughter,2007-01-03,77.38809035,110,1,1
Louise Slaughter,2009-01-03,79.38945927,111,1,1
Louise Slaughter,2011-01-03,81.38809035,112,1,1
Louise Slaughter,2013-01-03,83.38945927,113,3,3
Louise Slaughter,2015-01-03,85.38809035,114,2,2
Louise Slaughter,2017-01-03,87.38945927,115,1,1
Peter DeFazio,1987-01-03,39.60574949,100,3,3
Peter DeFazio,1989-01-03,41.60711841,101,3,3
Peter DeFazio,1991-01-03,43.60574949,102,1,1
Peter DeFazio,1993-01-03,45.60711841,103,2,2
Peter DeFazio,1995-01-03,47.60574949,104,3,3
Peter DeFazio,1997-01-03,49.60711841,105,3,3
Peter DeFazio,1999-01-03,51.60574949,106,3,3
Peter DeFazio,2001-01-03,53.60711841,107,3,3
Peter DeFazio,2003-01-03,55.60574949,108,1,1
Peter DeFazio,2005-01-03,57.60711841,109,2,2
Peter DeFazio,2007-01-03,59.60574949,110,3,3
Peter DeFazio,2009-01-03,61.60711841,111,2,2
Peter DeFazio,2011-01-03,63.60574949,112,2,2
Peter DeFazio,2013-01-03,65.60711841,113,2,2
Peter DeFazio,2015-01-03,67.60574949,114,2,2
Peter DeFazio,2017-01-03,69.60711841,115,3,3
Peter DeFazio,2019-01-03,71.60574949,116,3,3
